Episode,"Reward, FinalPosition",MaxPosition
0,-190.0,0.5247373875186537,0.5247373875186537
1,-200.0,-0.5720488365336812,0.016274381970359478
2,-195.0,0.5247373875186537,0.5247373875186537
3,-200.0,-0.40673703686454543,-0.3258341340428962
4,-200.0,-0.43683515995513833,-0.3447464837855165
5,-200.0,-0.4994379805505169,-0.31857660942188665
6,-200.0,-0.6133501384419922,-0.3279660536094626
7,-200.0,-0.38078840158464855,-0.3551653509673001
8,-155.0,0.5247373875186537,0.5247373875186537
9,-200.0,-0.363061679828922,-0.3491760777567241
10,-200.0,-0.16165765967194956,0.006327203516126005
11,-200.0,0.4761212491489425,0.4761212491489425
12,-200.0,-0.42946376756546106,-0.34279922858592854
13,-200.0,-1.0175363271434712,0.0067870891316432445
14,-154.0,0.5247373875186537,0.5247373875186537
15,-197.0,0.5247373875186537,0.5247373875186537
16,-200.0,-1.1312266168239755,0.00030388325953015867
17,-200.0,-0.14109236178367496,0.00339672064539461
18,-200.0,-0.3610729136439499,-0.34618573180486867
19,-200.0,0.0057403446873920076,0.011520921778137069
20,-200.0,-0.3392917074314114,-0.33861298088370667
21,-190.0,0.5247373875186537,0.5247373875186537
22,-200.0,-0.6256554952456693,0.016613741809884654
23,-200.0,-0.43001515131061846,-0.32775050175852827
24,-200.0,-0.4240035581113687,-0.34148991186069433
25,-197.0,0.5247373875186537,0.5247373875186537
26,-200.0,-0.44911739120176025,0.0342389704221864
27,-200.0,-1.0231718343281924,0.04734868020091545
28,-194.0,0.5247373875186537,0.5247373875186537
29,-200.0,-0.3243858485235833,0.013041062090423279
30,-196.0,0.5247373875186537,0.5247373875186537
31,-189.0,0.5247373875186537,0.5247373875186537
32,-200.0,-0.3243858485235833,0.026795688820378544
33,-200.0,-0.7983317816221248,0.04874257841714369
34,-188.0,0.5247373875186537,0.5247373875186537
35,-200.0,-0.8016794063222208,-0.33948511493365
36,-200.0,-0.3243858485235833,0.05000281049467444
37,-200.0,0.08359169905781527,0.08359169905781527
38,-200.0,-0.7983317816221248,0.017455256802799368
39,-200.0,-0.4041676345954799,-0.3592289791722687
40,-200.0,-0.15829837381905779,0.03293254843792409
41,-200.0,-0.2624256859117381,0.048177996032433376
42,-200.0,0.006527791109647059,0.006527791109647059
43,-200.0,0.33275519402603826,0.33275519402603826
44,-200.0,-0.40012790000611237,-0.37032151637078337
45,-200.0,-0.20122996568717166,0.013179416787357191
46,-200.0,-0.3610985013196888,-0.34622398636033147
47,-200.0,-0.42772997829463427,-0.3265293749028484
48,-197.0,0.5247373875186537,0.5247373875186537
49,-195.0,0.5247373875186537,0.5247373875186537
50,-200.0,-0.7983317816221248,0.048233020724261236
51,-197.0,0.5247373875186537,0.5247373875186537
52,-191.0,0.5247373875186537,0.5247373875186537
53,-189.0,0.5247373875186537,0.5247373875186537
54,-200.0,-0.2624256859117381,0.028468559561971887
55,-200.0,-0.018510686394910693,0.006720427386480609
56,-200.0,-0.2624256859117381,0.04856859841102256
57,-188.0,0.5247373875186537,0.5247373875186537
58,-195.0,0.5247373875186537,0.5247373875186537
59,-195.0,0.5247373875186537,0.5247373875186537
60,-200.0,-0.5720488365336812,0.015205111632042547
61,-200.0,-0.6316995610792892,0.016269035428391178
62,-200.0,-0.44911739120176025,0.029280951882600263
63,-200.0,-0.4136044561813568,-0.3967548173499396
64,-153.0,0.5247373875186537,0.5247373875186537
65,-200.0,-0.22747608029814262,0.04869405853208033
66,-200.0,-0.5110360146660762,0.0037579616466960277
67,-200.0,-0.20122996568717166,0.008939141161953407
68,-200.0,0.030638923968827073,0.030638923968827073
69,-200.0,-0.568274502385214,-0.3331700273382547
70,-200.0,-0.4575090827202348,-0.32641337077923893
71,-200.0,-0.36766949434286506,-0.3359771641379942
72,-200.0,-0.32177815262386816,-0.32177815262386816
73,-200.0,-0.4965116222604059,-0.3278717174394186
74,-200.0,-0.5649668490242908,-0.3277552311146279
75,-200.0,-0.38675274139346727,0.009342778219201826
76,-200.0,-0.8958282112564235,0.013078699224582501
77,-200.0,0.3804730936516356,0.3804730936516356
78,-200.0,-1.1510159267200155,0.013937699373288507
79,-200.0,-0.3335398750090424,-0.3304984348885325
80,-200.0,0.33275519402603826,0.33275519402603826
81,-200.0,-0.39791914812386897,-0.33234265053279516
82,-200.0,-0.4136092199813559,-0.39674461384631615
83,-154.0,0.5247373875186537,0.5247373875186537
84,-200.0,-0.3695924965008556,-0.3418065615508784
85,-200.0,-0.3243858485235833,0.027382428708940983
86,-200.0,-0.012953682967116171,-0.012953682967116171
87,-200.0,-0.7807794571335019,-0.3114505977646195
88,-192.0,0.5247373875186537,0.5247373875186537
89,-200.0,-0.6316995610792892,0.005434566305679017
90,-200.0,-1.0511918363028878,0.015437656551414589
91,-200.0,-0.39979198196699184,-0.3979367344671378
92,-155.0,0.5247373875186537,0.5247373875186537
93,-200.0,0.33275519402603826,0.33275519402603826
94,-200.0,-0.2624256859117381,0.009812771637062487
95,-200.0,-0.44393129251835467,-0.3335669687840561
96,-190.0,0.5247373875186537,0.5247373875186537
97,-200.0,-0.42258126838834276,-0.34420865706123566
98,-200.0,-0.37639835564417096,-0.37567591504444403
99,-200.0,-0.38675274139346727,0.02750316551829667
