Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.34596402667175985,-0.34596402667175985
1,-200.0,-0.6808560144114619,-0.3791072989651232
2,-200.0,-0.6561612218711408,-0.3206818190493859
3,-200.0,-0.42221113244237174,-0.3958097967607211
4,-200.0,-0.6651582342531415,-0.4022373876137842
5,-200.0,-0.37870248888566904,-0.34098477712946273
6,-200.0,-0.49959666615841136,-0.3300832257106587
7,-200.0,-0.5084000607946437,-0.20093439044909342
8,-200.0,-0.532065221909668,-0.3861077349087957
9,-200.0,-0.25933362258374115,-0.25933362258374115
10,-200.0,-0.5270930544197389,-0.4605922166227325
11,-200.0,-0.8232541406386069,-0.27006925430595946
12,-200.0,-0.4912485286726114,-0.3830983074730875
13,-200.0,-0.7241699246493699,-0.2919615096659874
14,-200.0,-0.37817070426104077,-0.33870765088479865
15,-200.0,-0.6045896897164236,-0.28968511377596884
16,-200.0,-0.5278219752834208,-0.44753023973260986
17,-200.0,-0.6206781234947586,-0.2784899792264248
18,-200.0,-0.5384186325469645,-0.4555527994105082
19,-200.0,-0.4791210788506207,-0.46794940282591735
20,-200.0,-0.5389431382043881,-0.2988229662236353
21,-200.0,-0.4973546776862994,-0.3906313669013405
22,-200.0,-0.598669421949111,-0.2880385236596623
23,-200.0,-0.42163698497355445,-0.2944542765591561
24,-200.0,-0.6054929758669405,-0.40876462706853656
25,-200.0,-0.5515596878603599,-0.40582802644099397
26,-200.0,-0.6050025708831442,-0.39077535915560785
27,-200.0,-0.3185702489457411,-0.2667174551571832
28,-200.0,-0.379878493821884,-0.35179124974107945
29,-200.0,-0.6412561656869802,-0.38524854825709337
30,-200.0,-0.44641045222335446,-0.2837787995635662
31,-200.0,-0.3927499583401831,-0.36786270068964366
32,-200.0,-0.2687850423173455,-0.06889003590518016
33,-200.0,-0.775375471679973,-0.3359402120602677
34,-200.0,-0.4677898330555104,-0.2685107803748994
35,-200.0,-0.4355646295898094,-0.38043271948133084
36,-200.0,-0.4762375701472542,-0.33589470014383566
37,-200.0,-0.7148012042483456,-0.2532802222200035
38,-200.0,-0.39230768536814703,-0.3922700646812155
39,-200.0,-0.5734238276040732,-0.23332797709313244
40,-200.0,-0.435991939947489,-0.37124778794148383
41,-200.0,-0.6194638086306314,-0.3325358764732966
42,-200.0,-0.2352030977893566,-0.13413053208111286
43,-200.0,-0.44330975180690063,-0.23500672551145038
44,-200.0,-0.4289076435684894,-0.42004132306676184
45,-200.0,-0.5897951859196392,-0.3954905042248801
46,-200.0,-0.693554621959241,-0.3042859153272713
47,-200.0,-0.7194249776373676,-0.3083233802419325
48,-200.0,-0.6782712239255481,-0.23722577411694132
49,-200.0,-0.617234864670059,-0.3317570770637806
50,-200.0,-0.34741939404501815,-0.21426029149024486
51,-200.0,-0.5229492788594575,-0.41264925019134496
52,-200.0,-0.5529989320828641,-0.432841315003024
53,-200.0,-0.9988287962542787,-0.11297152930201114
54,-200.0,-0.4252231696176585,-0.39218368445638585
55,-200.0,-0.26516104286244485,-0.26516104286244485
56,-200.0,-0.5260170936219631,-0.35672312130972755
57,-200.0,-0.772674662140783,-0.33071927269983264
58,-200.0,-0.592883521664591,-0.365373479714401
59,-200.0,-0.42888076727873387,-0.42888076727873387
60,-200.0,-0.6135671971081638,-0.3466826298129119
61,-200.0,-0.4088126585351597,-0.4088126585351597
62,-200.0,-0.6947813452288467,-0.06847539128463893
63,-200.0,-0.4401706981580469,-0.2851197801610126
64,-200.0,-0.5546572712271451,-0.36023518060422177
65,-200.0,-0.45058340537634767,-0.36749343180733407
66,-200.0,-0.6619695255977158,-0.38635882451069453
67,-200.0,-0.5733349000485436,-0.36060582504328326
68,-200.0,-0.5439438368691657,-0.29522875127283127
69,-200.0,-0.5282239815047983,-0.33978861562024154
70,-200.0,-0.514483337490579,-0.3909334158891264
71,-200.0,-0.4737553126587153,-0.2585459759778206
72,-200.0,-0.3930771429215271,-0.3614823337782544
73,-200.0,-0.6180996220025894,-0.3023265362325166
74,-200.0,-0.29550036062046076,-0.29550036062046076
75,-200.0,-0.4801031992254272,-0.41089843340467663
76,-200.0,-0.3774444287894164,-0.368177913600817
77,-200.0,-0.5450596579122938,-0.46606197575086783
78,-200.0,-0.7266126115774391,-0.3314876181574748
79,-200.0,-0.33286536232493596,-0.33286536232493596
80,-200.0,-0.7252183144309186,-0.3633760389316308
81,-200.0,-0.524583515652149,-0.2950080848082323
82,-200.0,-0.46920299510524854,-0.14530788511957762
83,-200.0,-0.43653497916062983,-0.3887918172589089
84,-200.0,-0.39592490512117073,-0.39176946050989697
85,-200.0,-0.6440682834140055,-0.2766784363566116
86,-200.0,-0.48059165107132956,-0.4482954879821854
87,-200.0,-0.7261844885089355,-0.35453387764321775
88,-200.0,-0.49793981052740494,-0.3518357890533161
89,-200.0,-0.5983534844862141,-0.28033969674267667
90,-200.0,-0.4714867618018386,-0.37530397639900515
91,-200.0,-0.32746182128154955,-0.2392791477602471
92,-200.0,-0.3218480104601571,-0.2452201287174067
93,-200.0,-0.6386709954336045,-0.3748260972001673
94,-200.0,-0.5476411445526929,-0.30657674188811235
95,-200.0,-0.46746162261549,-0.4162660303907809
96,-200.0,-0.40549009498381455,-0.3457438385947886
97,-200.0,-0.6798595928793476,-0.18006508405174484
98,-200.0,-0.7594105206129512,-0.3338721176605259
99,-200.0,-0.4432345197835078,-0.40332243334643086
100,-200.0,-0.4071126020079281,-0.3232626692302956
101,-200.0,-0.371592220613791,-0.35800814984511226
102,-200.0,-0.6322335117230923,-0.39364858035103906
103,-200.0,-0.3320354230183755,-0.26741498024730587
104,-200.0,-0.27503514244632893,-0.27503514244632893
105,-200.0,-0.3020587974189293,-0.1912741086605464
106,-200.0,-0.6624594011828037,-0.34861544071705847
107,-200.0,-0.4938604895544126,-0.41206939655527036
108,-200.0,-0.5654330623222475,-0.3918615570824525
109,-200.0,-0.8432672558870333,-0.29338546915718483
110,-200.0,-0.5047261000591159,-0.4283365978878284
111,-200.0,-0.6046914803244519,-0.22066647156237953
112,-200.0,-0.48748948330815606,-0.37973691421573136
113,-200.0,-0.7232595821428583,-0.3889200643597243
114,-200.0,-0.47590330105890744,-0.3371381124678805
115,-200.0,-0.2569742216347067,-0.2454543293431575
116,-200.0,-0.7107173796619033,-0.18075856159250062
117,-200.0,-0.5756263523088487,-0.2663961229519754
118,-200.0,-0.6294996736572128,-0.2923883788430345
119,-200.0,-0.3815433991484416,-0.07185848545439802
120,-200.0,-0.5965138867486608,-0.4408436071762474
121,-200.0,-0.515181116858488,-0.33472704450669805
122,-200.0,-0.48998311150905965,-0.3942871027434332
123,-200.0,-0.5518511241905351,-0.32302455056015766
124,-200.0,-0.650912019973041,-0.32622847340841726
125,-200.0,-0.4459594896744345,-0.2743807065637101
126,-200.0,-0.6011107704256538,-0.3656493744422095
127,-200.0,-0.7151379894281431,-0.35406010334446303
128,-200.0,-0.49351229447995226,-0.3055458243515485
129,-200.0,-0.4105589184962028,-0.4105589184962028
130,-200.0,-0.5469281732267165,-0.37718978734912467
131,-200.0,-0.8623005958225085,-0.2538883087357976
132,-200.0,-0.6856789730399678,-0.40259509322356346
133,-200.0,-0.5395486224957882,-0.1358376823161097
134,-200.0,-0.4073885485837339,-0.37568313334718906
135,-200.0,-0.18804230948814785,-0.17555144072908951
136,-200.0,-0.4807202526719832,-0.43308597182604286
137,-200.0,-0.19671039700856222,-0.19671039700856222
138,-200.0,-0.6041176291519594,-0.4010527125653984
139,-200.0,-0.449957434323345,-0.11276281567724963
140,-200.0,-0.4336861757619469,-0.3841727709959497
141,-200.0,-0.3889199451802546,-0.34955562353985337
142,-200.0,-0.6025633791727941,-0.3646088289218469
143,-200.0,-0.6753822522841876,-0.3294682278813231
144,-200.0,-0.5533824129328218,-0.36094059093844094
145,-200.0,-0.7214883698263622,-0.2880910614965843
146,-200.0,-0.35288801969645633,-0.34232764077625844
147,-200.0,-0.30940849878209503,-0.308612563397688
148,-200.0,-0.6749578096203794,-0.3290245343554136
149,-200.0,-0.7731343330090684,-0.25127842656340105
150,-200.0,-0.5776154216524199,-0.4343795837985763
151,-200.0,-0.010862449485881949,0.039722866187976345
152,-200.0,-0.4395815664864761,-0.37784445931643
153,-200.0,-0.46789743357045366,-0.4393278610660436
154,-200.0,-0.5933847797020818,-0.3407845726189021
155,-200.0,-0.43616107057179354,-0.2729464972014459
156,-200.0,-0.5561934326505416,-0.235496891323317
157,-200.0,-0.47103232911708853,-0.47103232911708853
158,-200.0,-0.6129065453934536,-0.3609880930255993
159,-200.0,-0.655940205036042,-0.4398921451525672
160,-200.0,-0.2292923981486528,-0.16999673656797518
161,-200.0,-0.3942769963858924,-0.3633165262445068
162,-200.0,-0.49511911896705224,-0.3963345629398199
163,-200.0,-0.4387955749804278,-0.28215159685366786
164,-200.0,-0.641216240085917,-0.4501432665370445
165,-200.0,-0.39817547660159136,-0.39452224902082056
166,-200.0,-0.5881323369400815,-0.2844930776265307
167,-200.0,-0.7789379089581359,-0.276492462808166
168,-200.0,-0.47772069561607433,-0.4308509464885219
169,-200.0,-0.8553811642862607,-0.2942697218974333
170,-200.0,-0.6089856541980101,-0.1530019990772437
171,-200.0,-0.6824771937066759,-0.35500632727719417
172,-200.0,-0.6479973269282158,-0.39691692065655765
173,-200.0,-0.19943460655590203,-0.12411054917251271
174,-200.0,-0.48592530145200347,-0.38373425940612627
175,-200.0,-0.9353031058325179,-0.18690694388932183
176,-200.0,-0.37105755074484154,-0.29359235579595033
177,-200.0,-0.24239629669404208,-0.24239629669404208
178,-200.0,-0.5789964467744032,-0.43189278590312596
179,-200.0,-0.5873697292383194,-0.26290915137598664
180,-200.0,-0.40456472266959725,-0.348059471817013
181,-200.0,-0.3200935781631763,-0.3200935781631763
182,-200.0,-0.41193826492844104,-0.32777236955306177
183,-200.0,-0.42227379490028794,-0.3536457413555383
184,-200.0,-0.6410944701687771,-0.4649635407864657
185,-200.0,-0.6411157986044674,-0.41226920727511435
186,-200.0,-0.5962305425709872,-0.3763380254824855
187,-200.0,-0.2783523667910096,-0.2783523667910096
188,-200.0,-0.6273376431546162,-0.2429214233140271
189,-200.0,-1.0216937242959876,-0.05245562745285253
190,-200.0,-0.9936111829580868,-0.1537505570693558
191,-200.0,-0.2407185888411136,-0.2407185888411136
192,-200.0,-0.8998706295217246,-0.23424336119112912
193,-200.0,-0.6918162885519445,-0.2876692381997528
194,-200.0,-0.719804442363477,-0.2627872433215619
195,-200.0,-0.7330958814245009,-0.3265235689626218
196,-200.0,-0.640397511846666,-0.4047675177915794
197,-200.0,-0.5229893388146143,-0.3807642302498385
198,-200.0,-0.7316281766655967,-0.32675892357649383
199,-200.0,-0.5055500833537238,-0.2253422354040418
200,-200.0,-0.5603109077854711,-0.38360167690899555
201,-200.0,-0.33102090096392545,-0.2399095363260226
202,-200.0,-0.570800051292534,-0.45515140287544564
203,-200.0,-0.51134899855828,-0.4163468983053847
204,-200.0,-0.37322538057769067,-0.37322538057769067
205,-200.0,-0.6837944316987002,-0.37280640671201043
206,-200.0,-0.5153155434036432,-0.46648461767993676
207,-200.0,-0.6003974134247081,-0.3513861750078052
208,-200.0,-0.3656513766662593,-0.2736054187666451
209,-200.0,-0.5976088753841127,-0.3915854236090073
210,-200.0,-0.43388593276332377,-0.22094744578658346
211,-200.0,-0.6671034327484628,-0.3341210221001596
212,-200.0,-0.6896700489194485,-0.31835045205884704
213,-200.0,-0.7309287562873565,-0.24243536388446726
214,-200.0,-0.584761305620383,-0.4337172642363144
215,-200.0,-0.49786496905493766,-0.3549921592009193
216,-200.0,-0.6789677761725939,-0.3643675087077948
217,-200.0,-0.34298781377442866,-0.29403095163225723
218,-200.0,-0.5344076825828232,-0.3091365993174247
219,-200.0,-0.6653483988862253,-0.37496028698033906
220,-200.0,-0.2646454276501216,-0.2646454276501216
221,-200.0,-0.6841012621706883,-0.09420194159689713
222,-200.0,-0.2324072512968375,-0.19509698202338657
223,-200.0,-0.42001320093817623,-0.42001320093817623
