Episode,"Reward, FinalPosition",MaxPosition
0,-140.0,0.5,0.5
1,-141.0,0.5,0.5
2,-144.0,0.5,0.5
3,-142.0,0.5,0.5
4,-146.0,0.5,0.5
5,-147.0,0.5,0.5
6,-147.0,0.5,0.5
7,-141.0,0.5,0.5
8,-150.0,0.5,0.5
9,-145.0,0.5,0.5
10,-141.0,0.5,0.5
11,-149.0,0.5,0.5
12,-143.0,0.5,0.5
13,-141.0,0.5,0.5
14,-144.0,0.5,0.5
15,-150.0,0.5,0.5
16,-147.0,0.5,0.5
17,-142.0,0.5,0.5
18,-200.0,-0.4,-0.2
19,-147.0,0.5,0.5
20,-147.0,0.5,0.5
21,-140.0,0.5,0.5
22,-147.0,0.5,0.5
23,-145.0,0.5,0.5
24,-181.0,0.5,0.5
25,-140.0,0.5,0.5
26,-147.0,0.5,0.5
27,-200.0,-0.5,-0.2
28,-142.0,0.5,0.5
29,-144.0,0.5,0.5
30,-145.0,0.5,0.5
31,-147.0,0.5,0.5
32,-145.0,0.5,0.5
33,-145.0,0.5,0.5
34,-146.0,0.5,0.5
35,-147.0,0.5,0.5
36,-139.0,0.5,0.5
37,-140.0,0.5,0.5
38,-145.0,0.5,0.5
39,-145.0,0.5,0.5
40,-144.0,0.5,0.5
41,-144.0,0.5,0.5
42,-141.0,0.5,0.5
43,-144.0,0.5,0.5
44,-146.0,0.5,0.5
45,-147.0,0.5,0.5
46,-145.0,0.5,0.5
47,-139.0,0.5,0.5
48,-140.0,0.5,0.5
49,-141.0,0.5,0.5
50,-148.0,0.5,0.5
51,-145.0,0.5,0.5
52,-144.0,0.5,0.5
53,-147.0,0.5,0.5
54,-200.0,-0.6,-0.6
55,-144.0,0.5,0.5
56,-141.0,0.5,0.5
57,-141.0,0.5,0.5
58,-141.0,0.5,0.5
59,-145.0,0.5,0.5
60,-141.0,0.5,0.5
61,-148.0,0.5,0.5
62,-144.0,0.5,0.5
63,-142.0,0.5,0.5
64,-141.0,0.5,0.5
65,-138.0,0.5,0.5
66,-141.0,0.5,0.5
67,-200.0,-0.6,-0.6
68,-147.0,0.5,0.5
69,-142.0,0.5,0.5
70,-146.0,0.5,0.5
71,-141.0,0.5,0.5
72,-146.0,0.5,0.5
73,-140.0,0.5,0.5
74,-144.0,0.5,0.5
75,-144.0,0.5,0.5
76,-143.0,0.5,0.5
77,-146.0,0.5,0.5
78,-143.0,0.5,0.5
79,-142.0,0.5,0.5
80,-147.0,0.5,0.5
81,-149.0,0.5,0.5
82,-140.0,0.5,0.5
83,-146.0,0.5,0.5
84,-144.0,0.5,0.5
85,-142.0,0.5,0.5
86,-141.0,0.5,0.5
87,-148.0,0.5,0.5
88,-144.0,0.5,0.5
89,-145.0,0.5,0.5
90,-144.0,0.5,0.5
91,-148.0,0.5,0.5
92,-145.0,0.5,0.5
93,-144.0,0.5,0.5
94,-149.0,0.5,0.5
95,-140.0,0.5,0.5
96,-146.0,0.5,0.5
97,-146.0,0.5,0.5
98,-142.0,0.5,0.5
99,-147.0,0.5,0.5
