Episode,TotalReward,FinalPosition,MaxPosition
0,-200.0,-0.5,-0.4
1,-200.0,-0.6,-0.4
2,-200.0,-0.6,-0.5
3,-200.0,-0.5,-0.4
4,-200.0,-0.5,-0.3
5,-200.0,-0.4,-0.4
6,-200.0,-0.5,-0.4
7,-200.0,-0.5,-0.4
8,-200.0,-0.7,-0.2
9,-200.0,-0.8,-0.2
10,-200.0,-0.6,-0.3
11,-200.0,-0.3,-0.3
12,-200.0,-0.5,-0.4
13,-200.0,-0.7,-0.2
14,-200.0,-0.3,-0.3
15,-200.0,-0.5,-0.3
16,-200.0,-0.4,-0.3
17,-200.0,-0.6,-0.4
18,-200.0,-0.6,-0.4
19,-200.0,-0.7,-0.3
20,-200.0,-0.6,-0.3
21,-200.0,-0.4,-0.3
22,-200.0,-0.6,-0.4
23,-200.0,-0.7,-0.3
24,-200.0,-0.5,-0.5
25,-200.0,-0.4,-0.3
26,-200.0,-0.6,-0.4
27,-200.0,-0.6,-0.4
28,-200.0,-0.5,-0.3
29,-200.0,-0.4,-0.3
30,-200.0,-0.5,-0.4
31,-200.0,-0.5,-0.4
32,-200.0,-0.8,-0.2
33,-200.0,-0.7,-0.2
34,-200.0,-0.3,-0.1
35,-200.0,-0.4,-0.4
36,-200.0,-0.6,-0.4
37,-200.0,-0.4,-0.3
38,-200.0,-0.3,-0.3
39,-200.0,-0.5,-0.5
40,-200.0,-0.7,-0.3
41,-200.0,-0.5,-0.5
42,-200.0,-0.5,-0.2
43,-200.0,-0.8,-0.2
44,-200.0,-0.6,-0.2
45,-200.0,-0.4,-0.4
46,-200.0,-0.6,-0.4
47,-200.0,-0.5,-0.5
48,-200.0,-0.5,-0.4
49,-200.0,-0.5,-0.2
50,-200.0,-0.5,-0.5
51,-200.0,-0.5,-0.5
52,-200.0,-0.6,-0.4
53,-200.0,-0.6,-0.4
54,-200.0,-0.2,-0.1
55,-200.0,-0.9,-0.1
56,-200.0,-0.2,-0.2
57,-200.0,-0.6,-0.3
58,-200.0,-0.7,-0.4
59,-200.0,-0.6,-0.4
60,-200.0,-0.5,-0.2
61,-200.0,-0.3,-0.3
62,-200.0,-0.8,-0.3
63,-200.0,-0.5,-0.5
64,-200.0,-0.7,-0.3
65,-200.0,-0.6,-0.3
66,-200.0,-0.6,-0.4
67,-200.0,-0.5,-0.4
68,-200.0,-0.6,-0.3
69,-200.0,-0.5,-0.4
70,-200.0,-0.6,-0.4
71,-200.0,-0.4,-0.3
72,-200.0,-0.3,-0.3
73,-200.0,-0.4,-0.3
74,-200.0,-0.7,-0.2
75,-200.0,-0.7,-0.2
76,-200.0,-0.5,-0.5
77,-200.0,-0.7,-0.2
78,-200.0,-0.3,-0.3
79,-200.0,-0.5,-0.4
80,-200.0,-0.5,-0.4
81,-200.0,-0.5,-0.5
